id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation,season,day_of_departure,hour_of_departure,gap_hours,area_cancel_per
132521,22182,65,2.0,3,448.0,,,,2013-01-01 16:00:00,,0,0,2013-01-01 09:44:00,12.92732,77.63575,,,0,4,1,2,6.266666666666667,2
132535,22190,87,2.0,3,471.0,,,,2013-01-01 14:30:00,,0,0,2013-01-01 12:52:00,13.01854,77.63524,,,0,4,1,2,1.6333333333333333,2
132538,21995,12,1.0,3,1286.0,,,,2013-01-01 16:30:00,,0,0,2013-01-01 14:39:00,12.973448,77.62032,,,0,4,1,2,1.85,2
132552,22201,12,1.0,3,1323.0,,,,2013-01-01 20:00:00,2013-01-01 00:00:00,1,0,2013-01-01 17:25:00,12.869805,77.653211,,,0,4,1,3,2.5833333333333335,2
132569,15846,12,2.0,3,142.0,,,,2013-01-02 03:00:00,,0,0,2013-01-01 19:37:00,12.91281,77.60923,,,0,4,2,0,7.383333333333334,3
132598,21995,28,2.0,3,87.0,,,,2013-01-02 12:00:00,,0,0,2013-01-02 08:35:00,12.97003,77.60658,,,0,4,2,1,3.4166666666666665,1
132602,15529,12,2.0,3,217.0,,,,2013-01-02 14:30:00,,0,0,2013-01-02 09:04:00,13.0011,77.6235,,,0,4,2,2,5.433333333333334,0
132605,15846,17,1.0,3,142.0,,,,2013-01-02 10:30:00,,0,0,2013-01-02 09:18:00,12.91281,77.60923,,,0,4,2,1,1.2,3
132608,22228,12,2.0,3,590.0,,,,2013-01-02 11:00:00,,0,0,2013-01-02 10:08:00,13.00826,77.56433,,,0,4,2,1,0.8666666666666667,2
132609,2005,24,1.0,3,1086.0,,,,2013-01-02 12:15:00,2013-01-02 00:00:00,1,0,2013-01-02 10:14:00,12.907487,77.64729,,,0,4,2,1,2.0166666666666666,2
132610,22229,12,2.0,3,1053.0,,,,2013-01-02 11:30:00,,0,0,2013-01-02 10:29:00,12.912799,77.589784,,,0,4,2,1,1.0166666666666666,1
132620,22236,85,2.0,3,393.0,,,,2013-01-02 16:00:00,2013-01-02 00:00:00,1,0,2013-01-02 11:59:00,13.19956,77.70688,,,0,4,2,2,4.016666666666667,3
132621,18777,12,1.0,3,293.0,,,,2013-01-02 17:00:00,2013-01-02 00:00:00,1,0,2013-01-02 12:15:00,12.849482,77.663187,,,0,4,2,2,4.75,3
